strategy,window_id,day,wall_clock_s,peak_gpu_mem_bytes,n_samples
full_retrain,657,tue,685.3064512999999,223002112,550
full_retrain,753,tue,628.2690552000004,223860736,646
full_retrain,849,tue,726.3565729000002,224146944,742
full_retrain,945,tue,1179.7716880999997,224146944,838
full_retrain,1326,wed,1793.8152159,224146944,1030
full_retrain,1518,wed,2409.4732988999986,224146944,1222
full_retrain,1742,wed,2989.676421600001,224146944,1446
full_retrain,1934,thu_am,2344.4001009000003,224146944,1638
full_retrain,3804,fri_pm_scan,3518.619674200003,224146944,2278
full_retrain,4297,fri_pm_ddos,4466.5218085000015,224719360,2374
incremental,657,tue,16.42262440000195,57807872,51
incremental,785,tue,12.885491000000911,57807872,51
incremental,849,tue,12.021224100000836,57807872,51
incremental,977,tue,12.382968400001118,57807872,51
incremental,1326,wed,12.091230499998346,57807872,51
incremental,1486,wed,14.005103699997562,57807872,51
incremental,2668,thu_pm,13.357578099999955,57807872,51
incremental,3772,fri_pm_scan,12.812201799999457,57807872,51
