experiment,model,phase,window_id,day,y_true,y_score,f1,pr_auc,roc_auc,fpr,n
B,RandomForest,1,0,mon,0.0,0.09635250800197817,0.0,0.5,,0.0,1
B,RandomForest,1,1,mon,0.0,0.034731155663365085,0.0,0.5,,0.0,2
B,RandomForest,1,2,mon,0.0,0.08042692333142919,0.0,0.5,,0.0,3
B,RandomForest,1,3,mon,0.0,0.0810744134405198,0.0,0.5,,0.0,4
B,RandomForest,1,4,mon,0.0,0.034955837773684315,0.0,0.5,,0.0,5
B,RandomForest,1,5,mon,0.0,0.25266461492679265,0.0,0.5,,0.0,6
B,RandomForest,1,6,mon,0.0,0.09098185228067628,0.0,0.5,,0.0,7
B,RandomForest,1,7,mon,0.0,0.034731155663365085,0.0,0.5,,0.0,8
B,RandomForest,1,8,mon,0.0,0.1760277251861129,0.0,0.5,,0.0,9
B,RandomForest,1,9,mon,0.0,0.029916130282098528,0.0,0.5,,0.0,10
B,RandomForest,1,10,mon,0.0,0.09060516330569182,0.0,0.5,,0.0,11
B,RandomForest,1,11,mon,0.0,0.16977092915950887,0.0,0.5,,0.0,12
B,RandomForest,1,12,mon,0.0,0.0810744134405198,0.0,0.5,,0.0,13
B,RandomForest,1,13,mon,0.0,0.1149208495769063,0.0,0.5,,0.0,14
B,RandomForest,1,14,mon,0.0,0.029916130282098528,0.0,0.5,,0.0,15
B,RandomForest,1,15,mon,0.0,0.16115726689842344,0.0,0.5,,0.0,16
B,RandomForest,1,16,mon,0.0,0.2510292157750102,0.0,0.5,,0.0,17
B,RandomForest,1,17,mon,0.0,0.24476189808068824,0.0,0.5,,0.0,18
B,RandomForest,1,18,mon,0.0,0.058407202121936806,0.0,0.5,,0.0,19
B,RandomForest,1,19,mon,0.0,0.24627652657024643,0.0,0.5,,0.0,20
B,RandomForest,1,20,mon,0.0,0.25206042177642574,0.0,0.5,,0.0,20
B,RandomForest,1,21,mon,0.0,0.02769911262846181,0.0,0.5,,0.0,20
B,RandomForest,1,22,mon,0.0,0.01,0.0,0.5,,0.0,20
B,RandomForest,1,23,mon,0.0,0.013088156142984773,0.0,0.5,,0.0,20
B,RandomForest,1,24,mon,0.0,0.08137623750857,0.0,0.5,,0.0,20
B,RandomForest,1,25,mon,0.0,0.08675964404091786,0.0,0.5,,0.0,20
B,RandomForest,1,26,mon,0.0,0.03340720212193679,0.0,0.5,,0.0,20
B,RandomForest,1,27,mon,0.0,0.12551929640685336,0.0,0.5,,0.0,20
B,RandomForest,1,28,mon,0.0,0.005,0.0,0.5,,0.0,20
B,RandomForest,1,29,mon,0.0,0.12551929640685336,0.0,0.5,,0.0,20
B,RandomForest,1,30,mon,0.0,0.03491613028209853,0.0,0.5,,0.0,20
B,RandomForest,1,31,mon,0.0,0.02493915341045913,0.0,0.5,,0.0,20
B,RandomForest,1,32,mon,0.0,0.03914595641568446,0.0,0.5,,0.0,20
B,RandomForest,1,33,mon,0.0,0.034731155663365085,0.0,0.5,,0.0,20
B,RandomForest,1,34,mon,0.0,0.13303859989976788,0.0,0.5,,0.0,20
B,RandomForest,1,35,mon,0.0,0.03288275250265534,0.0,0.5,,0.0,20
B,RandomForest,1,36,mon,0.0,0.00979642522542379,0.0,0.5,,0.0,20
B,RandomForest,1,37,mon,0.0,0.0015804294214945155,0.0,0.5,,0.0,20
B,RandomForest,1,38,mon,0.0,0.1583997330986182,0.0,0.5,,0.0,20
B,RandomForest,1,39,mon,0.0,0.03288275250265534,0.0,0.5,,0.0,20
B,RandomForest,1,40,mon,0.0,0.06464739200804799,0.0,0.5,,0.0,20
B,RandomForest,1,41,mon,0.0,0.014766300241828807,0.0,0.5,,0.0,20
B,RandomForest,1,42,mon,0.0,0.03497254775534102,0.0,0.5,,0.0,20
B,RandomForest,1,43,mon,0.0,0.035157868250810013,0.0,0.5,,0.0,20
