experiment,model,phase,window_id,day,y_true,y_score,f1,pr_auc,roc_auc,fpr,n
D,GAT+LSTM_no_adapt,1,6,mon,0.0,0.00029727519722655416,0.0,0.5,,0.0,1
D,GAT+LSTM_no_adapt,1,7,mon,0.0,0.000955468334723264,0.0,0.5,,0.0,2
D,GAT+LSTM_no_adapt,1,8,mon,0.0,0.000989758875221014,0.0,0.5,,0.0,3
D,GAT+LSTM_no_adapt,1,9,mon,0.0,0.0003420895372983068,0.0,0.5,,0.0,4
D,GAT+LSTM_no_adapt,1,10,mon,0.0,0.00018979956803377718,0.0,0.5,,0.0,5
D,GAT+LSTM_no_adapt,1,11,mon,0.0,0.00034275397774763405,0.0,0.5,,0.0,6
D,GAT+LSTM_no_adapt,1,12,mon,0.0,0.00019160789088346064,0.0,0.5,,0.0,7
D,GAT+LSTM_no_adapt,1,13,mon,0.0,0.00017582955479156226,0.0,0.5,,0.0,8
D,GAT+LSTM_no_adapt,1,14,mon,0.0,0.00015086216444615275,0.0,0.5,,0.0,9
D,GAT+LSTM_no_adapt,1,15,mon,0.0,0.0001498642668593675,0.0,0.5,,0.0,10
D,GAT+LSTM_no_adapt,1,16,mon,0.0,0.00014545867452397943,0.0,0.5,,0.0,11
D,GAT+LSTM_no_adapt,1,17,mon,0.0,0.00039065693272277713,0.0,0.5,,0.0,12
D,GAT+LSTM_no_adapt,1,18,mon,0.0,0.0005132833612151444,0.0,0.5,,0.0,13
D,GAT+LSTM_no_adapt,1,19,mon,0.0,0.00028366531478241086,0.0,0.5,,0.0,14
D,GAT+LSTM_no_adapt,1,20,mon,0.0,0.000600577041041106,0.0,0.5,,0.0,15
D,GAT+LSTM_no_adapt,1,21,mon,0.0,0.00023667654022574425,0.0,0.5,,0.0,16
D,GAT+LSTM_no_adapt,1,22,mon,0.0,0.0006714346236549318,0.0,0.5,,0.0,17
D,GAT+LSTM_no_adapt,1,23,mon,0.0,0.00023668761423323303,0.0,0.5,,0.0,18
